fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,w_rec,ts_10,ts_50,Year,Month,Day
2001-06-01,1437O,6.8(14),,,0.0,3.0,,,,,,11.5,31.7(30),21.6,1.0,,,,0.0,,,,6.0,5.5(16),,0.0,,,30.7,6.0,0.0,,0.0,12.2,0.0,15.5,19.5,,,6.0,,,,,,2001,6,1
2001-07-01,1437O,11.0(18),,,0.0,5.0,,,,,,11.6,29.9(01),17.7,0.0,,,,2.0,,,,8.0,9.1(19),,0.0,,,55.8,8.0,0.0,,0.0,11.5,0.0,14.8,17.9,,,8.0,,,,,,2001,7,1
2001-08-01,1437O,13.3(20),,,0.0,9.0,,,,,,13.7,26.9(11),20.6,0.0,,,,2.0,,,,9.0,10.3(03),,0.0,,,45.9,9.0,0.0,,0.0,14.7,0.0,16.8,19.9,,,8.0,,,,,,2001,8,1
2001-09-01,1437O,32.3(28),,,0.0,3.0,,,,,,11.1,24.3(11),15.3,0.0,,,,3.0,,,,7.0,8.4(18),,1.0,,,99.4,7.0,0.0,,0.0,13.6,0.0,15.0,18.8,,,7.0,,,,,,2001,9,1
2001-10-01,1437O,61.7(21),,,0.0,11.0,,,,,,10.4,21.1(11),14.8,0.0,,,,13.0,,,,19.0,7.3(20),,6.0,,,438.8,19.0,1.0,,0.0,11.3,0.0,12.7,14.9,,,15.0,,,,,,2001,10,1
2001-11-01,1437O,,,,,,,,,,,5.4,17.8(03),12.1,0.0,,,,,,,,,1.7(09),,,,,,,,,0.0,5.8,,7.9,10.4,,,,,,,,,2001,11,1
2001-12-01,1437O,39.5(01),,,0.0,2.0,,,,,,4.8,15.6(06),8.8,0.0,,,,3.0,,,,6.0,-0.8(24),,1.0,,,86.3,6.0,0.0,,2.0,4.6,0.0,7.2,9.4,,,5.0,,,,,,2001,12,1
2001-01-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1,1
2001-02-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2,1
2001-03-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,3,1
2001-04-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,4,1
2001-05-01,1473A,30.7(14),,62.0,,,,1011.6(28),0.0,1014.4,1002.3,9.5,34.2(29),15.1,3.0,,,07/15.0(31),3.0,,,0.0,8.0,4.9(01),116.0,1.0,,,73.0,,,7.0,0.0,13.5,,15.6,21.7,,986.9(14),6.0,,,175.0,,,2001,5,1
2001-06-01,1473A,9.2(15),,62.0,,,,1013.8(17),1.0,1017.9,1005.9,12.5,34.5(20),16.4,4.0,,,07/15.3(01),0.0,,,0.0,8.0,8.0(11),136.0,0.0,,,19.4,,,6.0,0.0,18.2,,18.8,25.1,,996.1(09),4.0,,,139.0,,,2001,6,1
2001-07-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,7,1
2001-08-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,8,1
2001-09-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,9,1
2001-10-01,1473A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,10,1
